Code de categorie;Designation;Agence;Famille de categorie;num_serie_materiels;quantite_materiels;designation_comp;num_serie_composant
1213;Jeu de chiffres et lettres à frapper;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;11;;
123;Porte Touret S1000;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;10;;
154;SUMITOMO T-72C+;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1235;1;;
164;Porte Touret S1000;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;12;;
CO0210022;Alcool isopropylique 1L;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;40;;
CO3800381;Lingettes kimwipes;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;16;;
KS0910092;Sac à bandoulière SMARTBAG XL;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;60;;
KS1580159;Clé gaine technique;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;6;;
KS4260427;Marteau rivoir 400G;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;18;;
KS5120513;Pince à bec;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;21;;
KS5190520;Pince coupante;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;21;;
KS5440545;Pointerolle corps octagonal;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;18;;
KS6370638;Tournevis fente 3.5mm;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;21;;
KS6380639;Tournevis fente 5,5mm;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;21;;
KS6390640;Tournevis PH0;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;21;;
KS6400641;Tournevis PH2;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;21;;
LO6701365;Machine de Portage HYDROCA;21 Rue de la Dhuys, 93470 Coubron;PORTAGE;;200;;
LO6701366;Machine de Portage;21 Rue de la Dhuys, 93470 Coubron;PORTAGE;;100;;
LO6701372;COMWAY A3;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1234;1;c1;111
LO6701373;COMWAY C10;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1234;1;;
LO6701374;COMWAY C6;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1234;1;;
LO6701375;SUMITOMO 72C;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1234;1;;
LO6701376;SUMITOMO 72C+;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1234;1;;
LO6701384;Boite de jonction pour tubes PEHD;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;50;;
LOC12406721472;COMWAY C10;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1235;1;;
LOCFS963CF;COMPRESSEUR KEASER M50;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;13;;
OU1440145;Cisaille à feuillard;tesst;OUTILS;;30;;
OU1520153;Ciseau pour Kevlar;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;19;;
OU2170218;Echelle 3 plans TUBESCA;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;18;;
OU2330234;Escabeau 3 marches EN131;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;3;;
OU2370238;Etabli de serrage MASTER 600;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;3;;
OU2440245;Etiqueteuse BRADY MBP21-PLUS;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;14;;
OU5370538;Pistolet à colle;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;18;;
OU6010602;Comway A4;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1235;1;;
OU6030604;COMWAY C10S;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1235;1;;
OU6070620;Fujikura 90S+;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1235;1;;
OU6070621;Fujikura 41S+;21 Rue de la Dhuys, 93470 Coubron;SOUDEUSE;1235;1;;
OU6300631;Tente de chantier 180*180*200;bilel;OUTILS;;36;;
OU7410742;Perforateur M18 BH-402C;21 Rue de la Dhuys, 93470 Coubron;Perforateur;;18;;
OU7420743;Perceuse Visseuse M18 BPD-0;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;3;;
SE0420043;Balises de signalisation 0.50m;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;108;;
SE3110312;Garde-Fou aluminium 1m x 1m x 0,90m;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;2;;
SE4880489;test;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;24;;
SE4920493;Panneau chaussée rétrécie;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;24;;
SE4940495;Panneau 30 km/h;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;12;;
SE4950496;Panneau 50 km/h;21 Rue de la Dhuys, 93470 Coubron;ACCESSOIRES;;8;;
TE5030504;Photomètre;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;18;;
TE6130614;Laser 30mW;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;3;;
TI0080009;Recharge Aiguille 30m D 3mm;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;18;;
TI0150016;Aiguille 300m D 11mm;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;12;;
TI0160017;test2;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;21;;
TI0200021;Aiguille 60m D 4,5mm;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;21;;
TI2050206;Crochet lève plaque L 570mm;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;21;;
TI2130214;Dérouleur à patin 1500 Kg;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;100;;
TI4230424;Marteau à plaque;mohamed;OUTILS;;19;;
TI4380439;Mire aluminium télescopique 5m;21 Rue de la Dhuys, 93470 Coubron;OUTILS;;300;;
